anio_inscripcion,matricula,sexo,nacionalidad,lugar_nacimiento,fecha_nacimiento,tipo_ingreso,colonia,escuela_procedencia,ubicacion_escuela_procedencia,nivel,carrera,turno,ciclo
2022,UVA20222547,NA,Mexicana,Valladolid,1997-06-12,Nuevo,Centro,Preparatoria Estatal No. 1,Umán,Licenciatura,Lic. en Psicología,Vespertino,2024-B
2022,UVA20229745,NA,Mexicana,Tizimín,1998-01-27,Repetidor,Francisco De Montejo,NA,Kanasín,Licenciatura,Lic. en Odontología,Matutino,2024-B
2022,UVA20229100,M,NA,Valladolid,1999-09-07,Reinscrito,Centro,Preparatoria Estatal No. 1,Tizimín,Licenciatura,Lic. en Odontología,Matutino,Enero-Junio
2022,UVA20223571,NA,NA,NA,1997-05-25,Nuevo,Francisco De Montejo,NA,Umán,Ingeniería,Lic. en Psicología,Vespertino,Enero-Junio
2022,UVA20226903,M,Mexicana,Valladolid,2000-10-06,Repetidor,Itzimná,NA,"Mérida, Yucatán",Licenciatura,Ing. Civil,Vespertino,2023-A
2022,UVA20227403,M,NA,Tizimín,2002-11-27,Equivalencia,Itzimná,Prepa Abierta,Umán,Licenciatura,Lic. en Arquitectura,Vespertino,2023-A
2022,UVA20229581,F,Mexicana,Mérida,1998-08-18,Reinscrito,Itzimná,Cbtis 95,NA,Ingeniería,Lic. en Enfermería,Matutino,Agosto-Diciembre
2022,UVA20229944,F,Mexicana,Mérida,2004-06-22,Nuevo,Francisco De Montejo,Prepa Abierta,"Mérida, Yucatán",Ingeniería,Ing. Civil,Matutino,2024-B
2022,UVA20226834,M,Mexicana,Mérida,2004-04-11,Reinscrito,Chuburná,NA,Umán,Ingeniería,Lic. en Nutrición,Matutino,2023-A
2022,UVA20221506,F,Mexicana,Mérida,2005-07-22,Repetidor,Itzimná,Prepa Abierta,NA,Licenciatura,Lic. en Admin. De Empresas,Vespertino,2024-B
2022,UVA20225638,NA,Mexicana,Tizimín,1998-08-26,Equivalencia,NA,NA,Umán,Licenciatura,Lic. en Diseño De Modas,Vespertino,Agosto-Diciembre
2022,UVA20227854,M,Mexicana,NA,2005-01-30,Nuevo,Centro,Prepa Abierta,"Mérida, Yucatán",Licenciatura,Lic. en Criminología,Matutino,2023-A
2022,UVA20224762,M,Mexicana,Mérida,2003-04-16,Repetidor,Itzimná,Preparatoria Estatal No. 1,Tizimín,Licenciatura,Ing. en Procesos De Manufactura,Matutino,Agosto-Diciembre
2022,UVA20229542,NA,Mexicana,Mérida,2002-05-14,Equivalencia,Centro,Cbtis 95,NA,Ingeniería,Lic. en Criminología,Matutino,Enero-Junio
2022,UVA20226598,M,NA,Mérida,1999-10-29,Reinscrito,Chuburná,Cbtis 95,"Mérida, Yucatán",Licenciatura,Lic. en Gastronomía,Vespertino,Agosto-Diciembre
2022,UVA20221451,M,NA,Valladolid,2001-12-08,Repetidor,Itzimná,Cbtis 95,NA,Licenciatura,Lic. en Gastronomía,Matutino,2024-B
2022,UVA20221667,F,Mexicana,Valladolid,2004-09-26,Reinscrito,Centro,Conalep Mérida,Tizimín,Ingeniería,Ing. Civil,Vespertino,Enero-Junio
2022,UVA20221612,F,Mexicana,Mérida,2004-09-26,Nuevo,Centro,Conalep Mérida,Tizimín,Ingeniería,Lic. en Odontología,Vespertino,2024-B
2022,UVA20222581,M,NA,NA,1995-07-24,Equivalencia,Centro,Conalep Mérida,Umán,Ingeniería,Lic. en Criminología,Matutino,Enero-Junio
2022,UVA20225973,M,Mexicana,NA,1995-07-08,Equivalencia,Francisco De Montejo,Cbtis 95,Umán,Licenciatura,Lic. en Contabilidad,Vespertino,Agosto-Diciembre
2022,UVA20228445,M,NA,Cancún,1999-10-30,Nuevo,Chuburná,Prepa Abierta,Kanasín,Ingeniería,Lic. en Derecho,Vespertino,2023-A
2022,UVA20224243,M,Mexicana,Tizimín,2001-07-19,Equivalencia,Chuburná,Cbtis 95,"Mérida, Yucatán",Ingeniería,Ing. Civil,Vespertino,2023-A
2022,UVA20227794,F,Mexicana,NA,2001-01-06,Reinscrito,Centro,NA,Kanasín,Ingeniería,Lic. en Diseño De Modas,Vespertino,Agosto-Diciembre
2022,UVA20224180,F,NA,Tizimín,2001-08-28,Repetidor,Centro,Conalep Mérida,"Mérida, Yucatán",Licenciatura,Ing. Civil,Vespertino,Agosto-Diciembre
2022,UVA20223894,NA,NA,Tizimín,2002-06-02,Reinscrito,Chuburná,NA,NA,Ingeniería,Lic. en Nutrición,Matutino,2024-B
2022,UVA20228360,M,Mexicana,Cancún,1998-02-11,Nuevo,Centro,NA,Kanasín,Ingeniería,Ing. Civil,Matutino,Agosto-Diciembre
2022,UVA20225363,NA,NA,NA,2004-09-30,Nuevo,NA,Cbtis 95,NA,Ingeniería,Lic. en Arquitectura,Vespertino,2024-B
2022,UVA20221857,M,Mexicana,NA,2004-04-02,Equivalencia,Chuburná,NA,Kanasín,Ingeniería,Lic. en Enfermería,Vespertino,2024-B
2022,UVA20222977,M,Mexicana,NA,2001-11-27,Equivalencia,NA,Conalep Mérida,Tizimín,Licenciatura,Lic. en Admin. De Empresas,Vespertino,2024-B
2022,UVA20228020,NA,NA,Tizimín,2005-03-09,Equivalencia,Centro,NA,Tizimín,Ingeniería,Lic. en Educación,Vespertino,2024-B
2022,UVA20229009,M,Mexicana,Tizimín,2003-08-23,Reinscrito,Centro,Prepa Abierta,"Mérida, Yucatán",Licenciatura,Ing. Civil,Matutino,2024-B
2022,UVA20221874,F,Mexicana,Tizimín,1996-07-10,Equivalencia,Centro,Prepa Abierta,Umán,Ingeniería,Lic. en Psicología,Matutino,Agosto-Diciembre
2022,UVA20226539,F,Mexicana,Mérida,1996-03-29,Equivalencia,Centro,Conalep Mérida,Tizimín,Licenciatura,Lic. en Gastronomía,Matutino,Agosto-Diciembre
2022,UVA20223668,F,Mexicana,Valladolid,1999-10-06,Repetidor,Centro,Conalep Mérida,Tizimín,Licenciatura,Lic. en Admin. De Empresas,Vespertino,2023-A
2022,UVA20228905,M,NA,Tizimín,2000-08-22,Repetidor,Chuburná,NA,NA,Licenciatura,Lic. en Derecho,Matutino,2024-B
2022,UVA20229042,M,Mexicana,Valladolid,2004-09-25,Nuevo,Chuburná,Conalep Mérida,Umán,Ingeniería,Ing. Civil,Vespertino,Agosto-Diciembre
2022,UVA20223277,M,Mexicana,Valladolid,1995-02-26,Reinscrito,NA,NA,Umán,Licenciatura,Lic. en Educación,Vespertino,2024-B
2022,UVA20229021,F,NA,Mérida,2004-03-01,Equivalencia,Centro,Prepa Abierta,Tizimín,Licenciatura,Lic. en Criminología,Matutino,Agosto-Diciembre
2022,UVA20225324,M,NA,Tizimín,1997-06-18,Equivalencia,Centro,Cbtis 95,Tizimín,Ingeniería,Lic. en Gastronomía,Vespertino,2024-B
2022,UVA20223546,NA,Mexicana,NA,2005-12-09,Nuevo,NA,NA,Umán,Ingeniería,Lic. en Nutrición,Matutino,2024-B
2022,UVA20226680,F,Mexicana,Valladolid,2005-10-19,Nuevo,Itzimná,Prepa Abierta,Umán,Ingeniería,Lic. en Criminología,Vespertino,2024-B
2022,UVA20222159,M,Mexicana,NA,1997-10-20,Reinscrito,Centro,NA,"Mérida, Yucatán",Ingeniería,Lic. en Psicología,Matutino,Enero-Junio
2022,UVA20222972,NA,NA,Mérida,1995-12-11,Repetidor,Centro,Prepa Abierta,Kanasín,Ingeniería,Ing. Civil,Matutino,Enero-Junio
2022,UVA20222461,M,NA,Tizimín,1999-07-12,Equivalencia,NA,Preparatoria Estatal No. 1,NA,Licenciatura,Ing. Civil,Matutino,Agosto-Diciembre
2022,UVA20222199,F,NA,Mérida,1995-11-27,Nuevo,Centro,Prepa Abierta,Umán,Ingeniería,Lic. en Diseño De Modas,Vespertino,2023-A
2022,UVA20221943,F,Mexicana,Mérida,2000-08-31,Equivalencia,Centro,Cbtis 95,Umán,Ingeniería,Lic. en Derecho,Matutino,Agosto-Diciembre
2022,UVA20228935,M,NA,Cancún,1996-05-19,Equivalencia,Centro,Preparatoria Estatal No. 1,"Mérida, Yucatán",Licenciatura,Lic. en Enfermería,Vespertino,2023-A
2022,UVA20226232,F,Mexicana,Mérida,1995-04-18,Equivalencia,Francisco De Montejo,Conalep Mérida,NA,Ingeniería,Lic. en Contabilidad,Matutino,Agosto-Diciembre
2022,UVA20221490,F,Mexicana,Valladolid,2004-10-22,Nuevo,Centro,Cbtis 95,Kanasín,Licenciatura,Lic. en Psicología,Matutino,2024-B
2022,UVA20228265,M,NA,NA,2001-01-11,Reinscrito,Centro,Cbtis 95,NA,Ingeniería,Ing. Civil,Vespertino,2023-A
2022,UVA20223521,F,Mexicana,Tizimín,2002-09-30,Repetidor,Francisco De Montejo,Cbtis 95,Tizimín,Ingeniería,Lic. en Educación,Vespertino,2024-B
2022,UVA20222807,NA,Mexicana,Mérida,1998-04-01,Reinscrito,Francisco De Montejo,Prepa Abierta,Kanasín,Ingeniería,Lic. en Criminología,Vespertino,2024-B
2022,UVA20224316,F,Mexicana,Tizimín,1997-11-17,Nuevo,Itzimná,NA,Tizimín,Ingeniería,Lic. en Psicología,Vespertino,2024-B
2022,UVA20227556,M,NA,Mérida,1996-12-16,Equivalencia,Chuburná,Cbtis 95,Tizimín,Ingeniería,Lic. en Enfermería,Vespertino,Enero-Junio
2022,UVA20221352,F,NA,Tizimín,2000-11-12,Nuevo,Centro,Preparatoria Estatal No. 1,Umán,Licenciatura,Lic. en Criminología,Vespertino,Agosto-Diciembre
2022,UVA20229718,F,Mexicana,Cancún,2005-04-21,Repetidor,Itzimná,NA,Umán,Ingeniería,Ing. Civil,Matutino,Agosto-Diciembre
2022,UVA20225149,M,Mexicana,Mérida,2000-10-28,Repetidor,Centro,NA,NA,Licenciatura,Lic. en Diseño De Modas,Matutino,Agosto-Diciembre
2022,UVA20229792,M,NA,Tizimín,2001-04-04,Nuevo,Chuburná,NA,NA,Licenciatura,Lic. en Gastronomía,Matutino,2023-A
2022,UVA20229102,F,NA,NA,1997-08-02,Repetidor,Itzimná,Preparatoria Estatal No. 1,"Mérida, Yucatán",Ingeniería,Lic. en Diseño De Modas,Matutino,2023-A
2022,UVA20221108,F,Mexicana,Mérida,2003-01-25,Equivalencia,Centro,Cbtis 95,Umán,Ingeniería,Lic. en Educación,Vespertino,Enero-Junio
2022,UVA20225108,F,Mexicana,NA,2005-02-14,Nuevo,Francisco De Montejo,NA,NA,Licenciatura,Lic. en Derecho,Matutino,2024-B
2022,UVA20221115,NA,Mexicana,Mérida,1995-10-02,Nuevo,Francisco De Montejo,NA,NA,Ingeniería,Lic. en Diseño De Modas,Matutino,Agosto-Diciembre
2022,UVA20226806,M,NA,NA,1997-09-21,Nuevo,Centro,NA,"Mérida, Yucatán",Licenciatura,Lic. en Diseño De Modas,Matutino,2024-B
2022,UVA20228335,F,Mexicana,Cancún,1999-01-23,Nuevo,Itzimná,Preparatoria Estatal No. 1,"Mérida, Yucatán",Licenciatura,Lic. en Arquitectura,Matutino,Agosto-Diciembre
2022,UVA20222587,F,Mexicana,Cancún,1997-04-16,Reinscrito,NA,Preparatoria Estatal No. 1,"Mérida, Yucatán",Ingeniería,Lic. en Educación,Vespertino,Enero-Junio
2022,UVA20228194,F,Mexicana,Tizimín,2001-06-25,Repetidor,NA,Conalep Mérida,Tizimín,Ingeniería,Lic. en Admin. De Empresas,Matutino,2023-A
2022,UVA20226078,F,NA,Cancún,2002-07-01,Reinscrito,Itzimná,NA,NA,Licenciatura,Lic. en Diseño De Modas,Vespertino,Enero-Junio
2022,UVA20227321,M,NA,NA,2004-12-01,Nuevo,Centro,Prepa Abierta,Tizimín,Licenciatura,Lic. en Odontología,Matutino,2023-A
2022,UVA20229426,M,NA,Tizimín,1995-02-28,Repetidor,Centro,NA,Kanasín,Ingeniería,Lic. en Diseño De Modas,Vespertino,Enero-Junio
2022,UVA20226469,M,Mexicana,Cancún,2004-06-20,Equivalencia,Centro,NA,Umán,Ingeniería,Lic. en Admin. De Empresas,Matutino,Agosto-Diciembre
2022,UVA20228940,F,Mexicana,NA,2003-05-20,Repetidor,Francisco De Montejo,NA,Tizimín,Ingeniería,Ing. Civil,Matutino,2024-B
2022,UVA20221170,M,Mexicana,NA,1999-02-06,Reinscrito,Chuburná,Cbtis 95,"Mérida, Yucatán",Ingeniería,Lic. en Diseño De Modas,Matutino,2024-B
2022,UVA20229488,F,NA,Valladolid,1998-04-16,Reinscrito,Centro,NA,"Mérida, Yucatán",Licenciatura,Lic. en Criminología,Vespertino,2024-B
2022,UVA20224025,M,Mexicana,Mérida,2000-01-13,Equivalencia,Centro,Preparatoria Estatal No. 1,NA,Ingeniería,Lic. en Contabilidad,Vespertino,Agosto-Diciembre
2022,UVA20227059,F,Mexicana,Tizimín,1999-02-15,Nuevo,Centro,Preparatoria Estatal No. 1,Tizimín,Ingeniería,Ing. Civil,Vespertino,Enero-Junio
2022,UVA20224878,M,Mexicana,Tizimín,1997-10-03,Equivalencia,Centro,Prepa Abierta,Umán,Ingeniería,Lic. en Contabilidad,Matutino,2023-A
2022,UVA20225922,F,Mexicana,Cancún,1997-12-13,Nuevo,Itzimná,Prepa Abierta,"Mérida, Yucatán",Licenciatura,Lic. en Diseño De Modas,Vespertino,2024-B
2022,UVA20227760,M,Mexicana,Tizimín,2005-04-11,Repetidor,Itzimná,Preparatoria Estatal No. 1,NA,Ingeniería,Lic. en Diseño De Modas,Matutino,2023-A
2022,UVA20222555,M,NA,Tizimín,1995-12-24,Reinscrito,NA,Prepa Abierta,"Mérida, Yucatán",Ingeniería,Ing. en Procesos De Manufactura,Vespertino,Agosto-Diciembre
2022,UVA20225953,M,Mexicana,Mérida,2005-08-07,Nuevo,Itzimná,Conalep Mérida,Kanasín,Licenciatura,Lic. en Educación,Matutino,Agosto-Diciembre
2022,UVA20221836,M,Mexicana,Tizimín,1995-02-08,Repetidor,Centro,Preparatoria Estatal No. 1,Umán,Licenciatura,Lic. en Criminología,Matutino,2023-A
2022,UVA20224204,NA,NA,Tizimín,2001-08-03,Nuevo,Centro,Conalep Mérida,Kanasín,Ingeniería,Lic. en Derecho,Matutino,2023-A
2022,UVA20228176,F,Mexicana,Tizimín,2003-12-04,Nuevo,Francisco De Montejo,Prepa Abierta,Tizimín,Licenciatura,Ing. en Procesos De Manufactura,Matutino,2024-B
2022,UVA20228169,NA,NA,Tizimín,2005-06-21,Equivalencia,Centro,NA,NA,Licenciatura,Lic. en Enfermería,Matutino,Agosto-Diciembre
2022,UVA20225249,M,NA,NA,1996-04-16,Nuevo,Centro,Preparatoria Estatal No. 1,Umán,Ingeniería,Lic. en Derecho,Matutino,2024-B
2022,UVA20222494,F,Mexicana,Valladolid,2000-05-20,Nuevo,Centro,Preparatoria Estatal No. 1,Umán,Licenciatura,Lic. en Criminología,Matutino,Enero-Junio
2022,UVA20222518,NA,Mexicana,Cancún,2002-10-12,Reinscrito,Centro,Preparatoria Estatal No. 1,"Mérida, Yucatán",Licenciatura,Lic. en Gastronomía,Matutino,Agosto-Diciembre
2022,UVA20222652,M,Mexicana,Cancún,1999-08-15,Repetidor,NA,NA,Kanasín,Ingeniería,Ing. Civil,Matutino,Enero-Junio
2022,UVA20227525,F,Mexicana,Cancún,2002-06-09,Equivalencia,NA,NA,"Mérida, Yucatán",Licenciatura,Lic. en Psicología,Matutino,Enero-Junio
2022,UVA20224606,M,Mexicana,Valladolid,2003-05-14,Equivalencia,Chuburná,Preparatoria Estatal No. 1,Tizimín,Ingeniería,Lic. en Psicología,Matutino,Agosto-Diciembre
2022,UVA20223172,F,NA,Tizimín,1996-09-17,Reinscrito,NA,Cbtis 95,NA,Ingeniería,Lic. en Diseño De Modas,Matutino,2024-B
2022,UVA20229729,M,Mexicana,Valladolid,1996-11-27,Equivalencia,Chuburná,NA,Tizimín,Ingeniería,Lic. en Fisioterapia,Vespertino,2023-A
2022,UVA20223989,F,Mexicana,NA,1998-12-08,Equivalencia,Chuburná,Preparatoria Estatal No. 1,Tizimín,Ingeniería,Lic. en Contabilidad,Matutino,Agosto-Diciembre
2022,UVA20221101,M,Mexicana,Tizimín,2001-11-30,Nuevo,Centro,Conalep Mérida,Kanasín,Ingeniería,Lic. en Derecho,Vespertino,2024-B
2022,UVA20227994,M,Mexicana,Cancún,1997-09-01,Repetidor,Centro,NA,Umán,Ingeniería,Lic. en Psicología,Matutino,2023-A
2022,UVA20223620,F,Mexicana,Tizimín,1996-04-25,Nuevo,Centro,NA,Umán,Licenciatura,Lic. en Diseño De Modas,Matutino,2023-A
2022,UVA20221024,F,Mexicana,Cancún,1995-05-24,Nuevo,Centro,Conalep Mérida,NA,Ingeniería,Lic. en Derecho,Vespertino,2023-A
2022,UVA20226503,NA,Mexicana,Tizimín,1997-04-13,Nuevo,Francisco De Montejo,NA,NA,Ingeniería,Lic. en Arquitectura,Matutino,2024-B
2022,UVA20221964,M,NA,Mérida,2005-04-10,Reinscrito,Centro,Conalep Mérida,Tizimín,Ingeniería,Lic. en Enfermería,Matutino,2023-A
2022,UVA20229852,M,NA,Cancún,1999-12-24,Nuevo,Centro,Conalep Mérida,NA,Licenciatura,Lic. en Psicología,Matutino,2024-B
2022,UVA20223209,F,NA,Mérida,2005-04-28,Reinscrito,Centro,Prepa Abierta,Tizimín,Licenciatura,Lic. en Enfermería,Vespertino,Agosto-Diciembre
2022,UVA20225685,F,Mexicana,Tizimín,2004-10-14,Equivalencia,Chuburná,Cbtis 95,Tizimín,Licenciatura,Lic. en Contabilidad,Vespertino,Agosto-Diciembre
2022,UVA20228951,M,Mexicana,NA,2004-06-23,Nuevo,Chuburná,NA,Tizimín,Licenciatura,Lic. en Odontología,Vespertino,Enero-Junio
2022,UVA20221300,NA,Mexicana,Valladolid,2005-09-21,Reinscrito,Itzimná,Prepa Abierta,Umán,Licenciatura,Lic. en Psicología,Vespertino,Enero-Junio
2022,UVA20225538,NA,Mexicana,Mérida,1999-10-06,Equivalencia,Centro,Preparatoria Estatal No. 1,Kanasín,Ingeniería,Lic. en Derecho,Vespertino,2023-A
2022,UVA20221862,M,NA,NA,2001-11-21,Reinscrito,Centro,NA,Kanasín,Licenciatura,Lic. en Fisioterapia,Vespertino,2024-B
2022,UVA20222801,F,Mexicana,Tizimín,1998-07-18,Equivalencia,Itzimná,Cbtis 95,"Mérida, Yucatán",Ingeniería,Lic. en Contabilidad,Vespertino,2024-B
2022,UVA20228139,F,NA,Cancún,2001-01-30,Reinscrito,Centro,Cbtis 95,Umán,Licenciatura,Lic. en Educación,Vespertino,2023-A
2022,UVA20224214,NA,Mexicana,Cancún,2003-06-28,Nuevo,Centro,Cbtis 95,"Mérida, Yucatán",Licenciatura,Ing. Civil,Vespertino,Agosto-Diciembre
2022,UVA20227849,M,NA,Tizimín,1998-01-24,Nuevo,NA,Cbtis 95,Tizimín,Ingeniería,Lic. en Derecho,Matutino,Enero-Junio
2022,UVA20221251,F,Mexicana,Valladolid,1997-12-11,Reinscrito,Chuburná,Cbtis 95,Kanasín,Ingeniería,Lic. en Enfermería,Vespertino,Enero-Junio
2022,UVA20223759,M,NA,Cancún,1999-09-02,Repetidor,Centro,NA,NA,Ingeniería,Lic. en Nutrición,Vespertino,2024-B
2022,UVA20223927,M,NA,Cancún,2005-07-24,Repetidor,Francisco De Montejo,Prepa Abierta,NA,Licenciatura,Lic. en Fisioterapia,Matutino,Enero-Junio
2022,UVA20222214,NA,Mexicana,Valladolid,2004-03-25,Repetidor,Centro,Cbtis 95,NA,Licenciatura,Lic. en Odontología,Matutino,2023-A
2022,UVA20227223,M,NA,Tizimín,2002-01-13,Repetidor,NA,Prepa Abierta,"Mérida, Yucatán",Ingeniería,Lic. en Criminología,Matutino,Agosto-Diciembre
2022,UVA20223398,F,NA,Cancún,1998-11-12,Reinscrito,Francisco De Montejo,Cbtis 95,Tizimín,Licenciatura,Lic. en Odontología,Vespertino,2024-B
2022,UVA20225704,F,Mexicana,Tizimín,2004-09-23,Equivalencia,Itzimná,Conalep Mérida,NA,Licenciatura,Lic. en Educación,Matutino,2023-A
2022,UVA20229012,M,NA,NA,1996-04-13,Equivalencia,Chuburná,NA,"Mérida, Yucatán",Licenciatura,Lic. en Diseño De Modas,Vespertino,2023-A
2022,UVA20227216,F,Mexicana,NA,1999-05-17,Reinscrito,NA,Cbtis 95,Tizimín,Ingeniería,Ing. Civil,Vespertino,Enero-Junio
2022,UVA20227572,F,Mexicana,Cancún,1997-07-16,Reinscrito,Centro,Preparatoria Estatal No. 1,Umán,Licenciatura,Lic. en Psicología,Vespertino,Enero-Junio
2022,UVA20229437,F,Mexicana,Cancún,1995-07-02,Reinscrito,Chuburná,NA,NA,Ingeniería,Lic. en Psicología,Matutino,Agosto-Diciembre
2022,UVA20222367,F,NA,NA,2005-08-03,Reinscrito,Chuburná,Preparatoria Estatal No. 1,Umán,Licenciatura,Ing. en Procesos De Manufactura,Vespertino,2023-A
2022,UVA20228774,M,NA,Mérida,2001-02-07,Reinscrito,NA,Prepa Abierta,Kanasín,Ingeniería,Ing. Civil,Matutino,Agosto-Diciembre
2022,UVA20225997,F,Mexicana,Cancún,1996-11-12,Repetidor,Francisco De Montejo,Prepa Abierta,"Mérida, Yucatán",Licenciatura,Lic. en Arquitectura,Vespertino,Agosto-Diciembre
2022,UVA20228099,NA,Mexicana,Mérida,1996-04-11,Repetidor,Chuburná,Prepa Abierta,Tizimín,Licenciatura,Lic. en Arquitectura,Matutino,Agosto-Diciembre
2022,UVA20226413,F,NA,NA,2005-09-14,Reinscrito,NA,NA,Kanasín,Licenciatura,Ing. Civil,Vespertino,2024-B
2022,UVA20221942,F,Mexicana,Tizimín,2005-10-03,Equivalencia,NA,Prepa Abierta,Tizimín,Licenciatura,Lic. en Odontología,Vespertino,2024-B
2022,UVA20227783,M,Mexicana,Tizimín,1998-08-14,Equivalencia,Itzimná,Cbtis 95,Kanasín,Licenciatura,Ing. en Procesos De Manufactura,Matutino,2023-A
2022,UVA20221507,F,NA,Mérida,1998-06-20,Nuevo,Chuburná,NA,Tizimín,Licenciatura,Lic. en Nutrición,Matutino,2023-A
2022,UVA20227759,M,NA,Mérida,2001-02-14,Nuevo,Centro,NA,Umán,Ingeniería,Lic. en Educación,Matutino,2024-B
2022,UVA20222269,F,NA,Mérida,2003-05-03,Reinscrito,Francisco De Montejo,Conalep Mérida,Kanasín,Ingeniería,Lic. en Enfermería,Matutino,Agosto-Diciembre
2022,UVA20223920,F,Mexicana,Cancún,2004-08-27,Repetidor,Francisco De Montejo,NA,"Mérida, Yucatán",Ingeniería,Ing. Civil,Matutino,2023-A
2022,UVA20223867,M,Mexicana,NA,2002-01-20,Nuevo,Francisco De Montejo,Preparatoria Estatal No. 1,Umán,Licenciatura,Lic. en Nutrición,Vespertino,Enero-Junio
2022,UVA20222953,M,NA,Valladolid,2000-01-31,Equivalencia,Centro,NA,Umán,Ingeniería,Lic. en Criminología,Matutino,2023-A
2022,UVA20225502,F,Mexicana,Cancún,1996-02-04,Reinscrito,Itzimná,Prepa Abierta,Umán,Ingeniería,Lic. en Educación,Vespertino,Enero-Junio
2022,UVA20224093,M,Mexicana,Tizimín,2002-04-27,Equivalencia,Centro,NA,Tizimín,Ingeniería,Lic. en Educación,Vespertino,2024-B
2022,UVA20228456,F,Mexicana,Valladolid,2000-06-29,Equivalencia,Centro,Prepa Abierta,NA,Licenciatura,Lic. en Diseño De Modas,Matutino,2023-A
2022,UVA20228348,M,Mexicana,Valladolid,1997-03-22,Nuevo,Centro,NA,Tizimín,Licenciatura,Lic. en Fisioterapia,Matutino,2024-B
2022,UVA20225711,M,Mexicana,Tizimín,1998-02-24,Reinscrito,Centro,Conalep Mérida,Kanasín,Licenciatura,Lic. en Nutrición,Matutino,2024-B
2022,UVA20226550,M,NA,Cancún,2003-03-31,Equivalencia,Itzimná,Conalep Mérida,Tizimín,Licenciatura,Lic. en Educación,Matutino,2024-B
2022,UVA20222183,F,Mexicana,Cancún,2001-04-18,Nuevo,NA,Cbtis 95,Kanasín,Ingeniería,Lic. en Derecho,Matutino,Enero-Junio
2022,UVA20227762,M,Mexicana,NA,1998-02-03,Reinscrito,Centro,Cbtis 95,"Mérida, Yucatán",Licenciatura,Lic. en Psicología,Vespertino,2023-A
2022,UVA20226164,M,Mexicana,NA,1995-11-09,Nuevo,Itzimná,Conalep Mérida,"Mérida, Yucatán",Licenciatura,Lic. en Contabilidad,Matutino,2024-B
2022,UVA20223847,M,Mexicana,Tizimín,2004-06-17,Equivalencia,Francisco De Montejo,Prepa Abierta,NA,Licenciatura,Lic. en Criminología,Matutino,2023-A
2022,UVA20228698,F,NA,Tizimín,2005-01-09,Reinscrito,Francisco De Montejo,NA,NA,Ingeniería,Lic. en Diseño De Modas,Matutino,2023-A
2022,UVA20229799,F,NA,NA,2001-10-27,Reinscrito,Itzimná,NA,NA,Licenciatura,Lic. en Admin. De Empresas,Matutino,2023-A
2022,UVA20221218,F,Mexicana,Tizimín,2004-12-20,Equivalencia,NA,Conalep Mérida,Umán,Ingeniería,Lic. en Educación,Matutino,Enero-Junio
2022,UVA20221032,M,Mexicana,Valladolid,1996-02-06,Equivalencia,Centro,NA,Umán,Licenciatura,Lic. en Fisioterapia,Vespertino,Enero-Junio
