nombre_original,nombre_google,direccion,municipio,estado,lat,lng,es_yucatan,criterio,place_id
PREPARATORIA ABIERTA CALAFIA,Preparatoria Instituto Educativo Calafia,"CALLE DEL BARRO, Av. Poblado Islas Agrarias # 1201, 21600 Mexicali, B.C., Mexico",,,32.6062255,-115.3524951,False,,ChIJOzoWrid114ARjC-v44HXlPc
VICTOR J. MANZANILLA J. - CANSAHCAB,Preparatoria Estatal N°4 Victor Jesús Manzanilla Jimenez,"Calle 20 S/N, Cansahcab Centro, 97410 Cansahcab, Yuc., Mexico",,,21.1620994,-89.10155590000001,True,coordenadas,ChIJN6PWgtwhVI8Ravkio-1hY-o
CBTIS 28 COZUMEL,Cbtis 28,"Antonio González Fernández. 600, 10 de Abril, 77622 Cozumel, Q.R., Mexico",,,20.5129772,-86.938709,False,,ChIJpXjS80hYTo8R54VQ2MrrHOE
COLEGIO BENITO JUAREZ GARCIA,Benito Juárez García,"C. 107, Santa Rosa, 97279 Mérida, Yuc., Mexico",,,20.9424085,-89.613671,True,"coordenadas,texto",ChIJA8mvC5txVo8R6Un_jpQGnyc
CENTRO DE BACHILLERATO TECNOLOGICO AGROPECUARIO,Centro de Bachillerato Tecnologico Agripecuario No. 165 (CBTA),"C. 30 102, Guadalupe, 97540 Izamal, Yuc., Mexico",,,20.9462776,-89.0202595,True,coordenadas,ChIJTXFnmH-jVo8RZO8g_g5QxA4
CBTA 165,Centro de Bachillerato Tecnologico Agripecuario No. 165 (CBTA),"C. 30 102, Guadalupe, 97540 Izamal, Yuc., Mexico",,,20.9462776,-89.0202595,True,coordenadas,ChIJTXFnmH-jVo8RZO8g_g5QxA4
CBTA IZAMAL 185,Centro de Bachillerato Tecnologico Agripecuario No. 165 (CBTA),"C. 30 102, Guadalupe, 97540 Izamal, Yuc., Mexico",,,20.9462776,-89.0202595,True,coordenadas,ChIJTXFnmH-jVo8RZO8g_g5QxA4
CBTIS 95,CBTis 95,"Calle 18 No. 300-X 49, Salvador Alvarado Sur, 97190 Mérida, Yuc., Mexico",,,20.9389584,-89.5975821,True,"coordenadas,texto",ChIJ-9jtT6VxVo8Rr3OGzjjBL6U
CBTIS 120 MÉRIDA,CBTis 120,"C. 13 101 por 60, Loma Bonita, 97205 Mérida, Yuc., Mexico",,,21.0192738,-89.6260632,True,"coordenadas,texto",ChIJhQ9kxh90Vo8R_FTxO6f4UVM
CARLOS CASTILLO PERAZA,Carlos Castillo Peraza,"Carlos Castillo Peraza, 32575 Juárez, Chih., Mexico",,,31.5895587,-106.3690019,False,,ChIJHxa7ojhm54YRbrf-HB-O97Q
UNIVERSIDAD AUTONOMA DEL CARMEN,UNIVERSIDAD AUTÓNOMA DEL CARMEN,"C. 56 4, Benito Juárez, 24180 Cdad. del Carmen, Camp., Mexico",,,18.6467477,-91.81811019999999,False,,ChIJb6mCfqEH8YURaVeDuMQR5jk
CENTRO EDUCATIVO SIGLO XXI,Centro Educativo Siglo XXI,"C. 21 216, entre 60 Y 62, Zona Dorada II, 97226 Mérida, Yuc., Mexico",,,20.9931194,-89.6548507,True,"coordenadas,texto",ChIJgSkWbIZzVo8R1kR1GpC7w8c
CECYTE,Cecytey 06 Emiliano Zapata,"Cl. 143 314, Emiliano Zapata Sur L, 97297 Mérida, Yuc., Mexico",,,20.9221786,-89.6479258,True,"coordenadas,texto",ChIJh2zUwmtyVo8RJ5R9ZOXPp9M
CECYTE QUINTANA ROO,Colegio de Estudios Científicos y Tecnológicos del Estado de Quintano Roo,"C. 4 Pte. s/n, Maya Pax, Mayapax, 77780 Tulum, Q.R., Mexico",,,20.2137963,-87.4649852,True,coordenadas,ChIJNboTT6Hi0YURp9WYkxQqjIY
CEC Y TES,CECyTEY,"Jardines del Nte., 97139 Mérida, Yuc., Mexico",,,21.0206837,-89.66302979999999,True,"coordenadas,texto",ChIJFQPkpop0Vo8RJxEyappzo4g
CEDART ERMILO ABREU GÓMEZ,CEDART Ermilo Abreu Gómez,"Calle 21, Periférico Poniente, Colonia San Juan Bautista, 97200 Mérida, Yuc., Mexico",,,21.024518,-89.66422299999999,True,"coordenadas,texto",ChIJ0WKKC_V0Vo8RT0a9SLv1d-A
CEEAC,Escuela Preparatoria CEEAC (Centro de Estudios Educare AC),"C. 60 316-por 27 y 29, Señorial, 97059 Mérida, Yuc., Mexico",,,20.9904076,-89.61940779999999,True,"coordenadas,texto",ChIJMXrOK1FxVo8R-lIPaSGB_sU
CEIC PLAYA DEL CARMEN,Preparatoria CEIC,"Calle 22 Nte, Entre 50 y, Calle 55 Pte. &, Ejidal, 77712 Playa del Carmen, Q.R., Mexico",,,20.6332105,-87.0808808,False,,ChIJETMOOiJDTo8RtAZm-r2INM0
CELA,Studies Center of the Americas CELA,"Calle 21 No. 357A-x 26, San Pedro Cholul, 97138 Mérida, Yuc., Mexico",,,21.0115607,-89.571107,True,"coordenadas,texto",ChIJ6ZBbNTh3Vo8RHhTB_MWospU
CENTRO EDUCATIVO MARIA GONZALEZ PALMA,Escuela María González Palma,"C. 50 454, Centro, 97000 Mérida, Yuc., Mexico",,,20.9733664,-89.6147845,True,"coordenadas,texto",ChIJzyzZGWhxVo8Rpn-3NpwiTeY
COREM MERIDA,Colegio Regional de México COREM Mérida Brisas,"C. 26 Diag. 112, Las Brisas, 97144 Mérida, Yuc., Mexico",,,20.9900426,-89.58419579999999,True,"coordenadas,texto",ChIJozIqGtdwVo8R87GCKU_ja8U
CENTENNIAL COLLEGIATE VOCATIONAL INSTITUTE,Centennial Collegiate Vocational Institute,"289 College Ave W, Guelph, ON N1G 1S9, Canada",,,43.5221478,-80.2481184,False,,ChIJkdkY5zOFK4gRI-rIoA6iedY
CENTRO ESCOLAR ROCHAVI,Centro Escolar Rochavi,"C. 76 11-A'-1, Residencial Pensiones VI, 97217 Mérida, Yuc., Mexico",,,21.0007387,-89.6618228,True,"coordenadas,texto",ChIJL2ydzn90Vo8Rgmj2GrnryOo
CESMAC,Preparatoria CESMAC,"C. 65 627, Parque Santiago, Centro, 97000 Centro, Yuc., Mexico",,,20.9675271,-89.6348395,True,coordenadas,ChIJYVmOssRzVo8R2x0N9YM8rME
CETESC,Cetec Yucatan Sc,"C. 61 496a-por 56 y 58, Centro, 97000 Mérida, Yuc., Mexico",,,20.9672049,-89.621324,True,"coordenadas,texto",ChIJyVdVLJxzVo8RU5Arc20VNdc
CETIS 112,CETIS 112,"C. 55 No. 728, Pacabtún, 97160 Mérida, Yuc., Mexico",,,20.9689832,-89.59015,True,"coordenadas,texto",ChIJi5Hbjh5xVo8RhidNOaO9lMs
CETIS 134,CETIS 134,"Av. Lomas Verdes 2, Rancho Viejo, 91303 Banderilla, Ver., Mexico",,,19.5861158,-96.9335841,False,,ChIJM0QlRs4v24URtleI2a-PnSA
CETIS 68,Cetis 68,"Av. Aquiles Serdán 964, Tabachines, 81257 Los Mochis, Sin., Mexico",,,25.7858317,-108.976148,False,,ChIJD2yw1kAvuoYRgat3mOHGp44
CENTRO DE ESTUDIOS TECNOLÓGICOS DEL MAR No 17,Centro de Estudios Tecnológicos del Mar 17,"Progreso, Boulevard Turístico Yucalpetén, 97320 Progreso, Yucatan, Mexico",,,21.2806216,-89.69734559999999,True,"coordenadas,texto",ChIJG88iVFTdVY8RXrwq0KsfDUo
COLEGIO DE ESTUDIOS UNIVERSITARIOS DEL MAYAB,College of the Mayab University Studies,"C. 59 627, Barrio de Santiago, Centro, 97000 Mérida, Yuc., Mexico",,,20.971394,-89.6394418,True,"coordenadas,texto",ChIJaxnQg8FzVo8RBzYQub8j2d4
COBAY CHOLUL,Cobay Cholul,"97305 Merida, Yucatan, Mexico",,,21.0493287,-89.57478909999999,True,"coordenadas,texto",ChIJnQgjxKZ3Vo8RUDr1u0F8KaE
CEMA,"Miguel Alemán school ""CEMA""","Fracc, C. 27 150, San Miguel, 97140 Mérida, Yuc., Mexico",,,20.994113,-89.5946287,True,"coordenadas,texto",ChIJyaJKBq12Vo8RvMmjp6-5Hok
UNIVERSIDAD CNCI,Universidad CNCI,"Av. Ruiz Cortines 5901, Valle Verde, 64360 Monterrey, N.L., Mexico",,,25.7374545,-100.3796194,False,,ChIJ4bM7DOmWYoYR2PK-taY5qDU
COBAY CELESTUN,Nacobay,"C. 6 6480, Benito Juárez, 97367 Celestún, Yuc., Mexico",,,20.8656137,-90.3945962,True,coordenadas,ChIJRSnB8rfF-IURlvT7ieFqnVQ
COLEGIO DE BACHILLERES DEL ESTADO DE CAMPECHE,Colegio de Bachilleres del Estado de Yucatán,"Calle 34 420-B x 35, Col. López Mateos, López Mateos, 97440 Mérida, Yuc., Mexico",,,20.9821261,-89.6031649,True,"coordenadas,texto",ChIJAQAAUDpxVo8RJfHKu9DbOzA
COBACAM-CAMPECHE,COBACAM,"Calle Castillo Oliver No. 14, entre Lorenzo Alfaro Alomía, área, Cam, Av. Miguel Alemán y, Área Ah, 24014 San Francisco de Campeche, Camp., Mexico",,,19.8520317,-90.5276107,False,,ChIJY3D9ov8z-IURU3SN0wZPnVo
COLEGIO DE BACHILLERES CHIAPAS,Colegio de Bachilleres de Chiapas,"Blvrd Presa Chicoasén 950, Amp las Palmas, 29044 Tuxtla Gutiérrez, Chis., Mexico",,,16.7577164,-93.0880594,False,,ChIJd3PrIXEn7YURExLaQNu7ico
COBACH CHIAPAS,Colegio de Bachilleres de Chiapas,"Blvrd Presa Chicoasén 950, Amp las Palmas, 29044 Tuxtla Gutiérrez, Chis., Mexico",,,16.7577164,-93.0880594,False,,ChIJd3PrIXEn7YURExLaQNu7ico
COLEGIO DE BACHILLERES QUINTANA ROO,Colegio de Bachilleres del Estado de Yucatán,"Calle 34 420-B x 35, Col. López Mateos, López Mateos, 97440 Mérida, Yuc., Mexico",,,20.9821261,-89.6031649,True,"coordenadas,texto",ChIJAQAAUDpxVo8RJfHKu9DbOzA
COLEGIO BACHILLERES TABASCO,Colegio de Bachilleres de Tabasco,"Av. Paseo La Choca 100, Multiochenta, 86085 Villahermosa, Tab., Mexico",,,18.0005655,-92.9548589,False,,ChIJ7U35LSiN7oURcRcgKeBQjsM
COLEGIO BACHILLERES DE TABASCO 46,College of Bachelors of Tabasco Campus 46,"Villa las Flores, 86780 Jonuta, Tab., Mexico",,,18.0973934,-92.1420416,False,,ChIJy0xqWzKL8YURqPgoQRwq3kw
COBATAB,Dirección General del COBATAB,"2000,, Av. Paseo La Choca 100, Parque Tabasco, 86035 Villahermosa, Tab., Mexico",,,18.0006976,-92.95480169999999,False,,ChIJNUS83pTX7YURFZitHJrUh2A
COLEGIO DE BACHILLERES No. 8 TABASCO,COBATAB PLANTEL 8,"Av. Monte Cristo SN, Las Lomas, 86980 Emiliano Zapata, Tab., Mexico",,,17.7355381,-91.7674219,False,,ChIJLQ-DNuUz-IURQ6RoQ_xL5Cw
COBAY PROGRESO,COBAY Plantel Progreso,"C. 37 entre 72 y 74, Centro, 97320 Progreso, Yuc., Mexico",,,21.2807775,-89.6589856,True,"coordenadas,texto",ChIJVUX2Y9TcVY8Rlu_GthDExxw
COBAY 5,COBAY plantel Santa Rosa,"Av. 1o. de Mayo x 107 y 109, Santa Rosa, 97279 Mérida, Yuc., Mexico",,,20.9403774,-89.6127855,True,"coordenadas,texto",ChIJ3UmgRppxVo8RzhNh9D6cWUk
COBAY ACANCEH,Cobay Acanceh,"97380 Acanceh, Yucatan, Mexico",,,20.827109,-89.4670012,True,"coordenadas,texto",ChIJAalZHOBjVo8RMUlpYsQC1DQ
COBAY BACA,Cobay Baca,"97450 Baca, Yucatan, Mexico",,,21.106527,-89.4029477,True,"coordenadas,texto",ChIJp9E-q8rVVY8RCGhdWH_HLZY
COBAY CAUCEL,COBAY Caucel,"Hunucma - Caucel 56, Caucel, 97314 Caucel, Yuc., Mexico",,,21.0212694,-89.7178765,True,"coordenadas,texto",ChIJZbcTa0ALVo8RVQBzD1GPofM
COLEGIO DE BACHILLERES PLANTEL COZUMEL,Colegio de Bachilleres,"50 Avenida Sur, C. 27 Sur, San Miguel I, 77666 Cozumel, Q.R., Mexico",,,20.4910141,-86.95469899999999,False,,ChIJ48j5c2NXTo8RyaIT3ir19p8
COBAY DZIDZANTUN,COBAY Dzidzantun,"C. 6, Dzidzantun, 97500 Dzidzantún, Yuc., Mexico",,,21.2465277,-89.0318219,True,coordenadas,ChIJMdxtpZAZVI8R6rzwacR9fuk
COBAY HALACHO,COBAY Halacho,"C. 20 17A, San José, 97830 Halachó, Yuc., Mexico",,,20.4931519,-90.077041,True,coordenadas,ChIJ2x2Yip6E-IUROuvifT056I8
COBAY KANASIN,COBAY plantel Kanasin,"Calle 14 S/N x 33, Cuauhtémoc II, 97370 Kanasín, Yuc., Mexico",,,20.9360912,-89.5732575,True,"coordenadas,texto",ChIJpf5-oURwVo8RE5JmGAGEQhA
COBAY KIMBILA,COBAY de Kimbilá,"Calle 24, Kimbilá, 97550 Kimbilá, Yuc., Mexico",,,20.9411288,-89.1244919,True,coordenadas,ChIJ9-QwwlCYVo8ROTZ4OxQYvxg
COBAY KINCHIL,Cobay plantel kinchil,"C. 18, 97360 Yuc., Mexico",,,20.930853,-89.942686,True,coordenadas,ChIJf3YHDcEDVo8RfxiH7FTEMqM
COLEGIO DE BACHILLERES DE YUCATAN,Colegio de Bachilleres del Estado de Yucatán,"Calle 34 420-B x 35, Col. López Mateos, López Mateos, 97440 Mérida, Yuc., Mexico",,,20.9821261,-89.6031649,True,"coordenadas,texto",ChIJAQAAUDpxVo8RJfHKu9DbOzA
COBAY CHICXULUB PUEBLO,COBAY,"97340 Chicxulub, Yucatan, Mexico",,,21.1404492,-89.5100272,True,"coordenadas,texto",ChIJL9mDgP_WVY8RnceKt7J4oWw
COBAY SANTA ROSA,COBAY plantel Santa Rosa,"Av. 1o. de Mayo x 107 y 109, Santa Rosa, 97279 Mérida, Yuc., Mexico",,,20.9403774,-89.6127855,True,"coordenadas,texto",ChIJ3UmgRppxVo8RzhNh9D6cWUk
COBAY TEKIT,COBAY Tekit,"97680 Tekit, Yuc., Mexico",,,20.5409686,-89.3444007,True,coordenadas,ChIJ3Ye24Fb3Vo8R9SYn6iBsnWY
COBAY TECOH,COBAY Tecoh,"Tecoh Municipality, 97820 Tecoh, Yucatan, Mexico",,,20.729791,-89.4756395,True,"coordenadas,texto",ChIJCa1PFoNnVo8Rd8cCQgKfflE
COBAY TICUL,Escuela Preparatoria Cobay,"C. 41 187, Centro, 97860 Ticul, Yuc., Mexico",,,20.3830993,-89.52936849999999,True,"coordenadas,texto",ChIJSb6QcV5SVo8R3oAJw2hp0N8
COBAY UMAN,COBAY Xoclán,"C. 132 x 42, Xoclán Carmelitas, 97245 Mérida, Yuc., Mexico",,,20.9709302,-89.6670396,True,"coordenadas,texto",ChIJhXBLpAtzVo8RwHejqooNzcc
COBAY VALLADOLID,COBAY,"C. 32 S/N, Fernando Novelo, 97780 Valladolid, Yuc., Mexico",,,20.6974196,-88.19490069999999,True,"coordenadas,texto",ChIJI8wxLswKUY8RBSEHEdRPYGc
COBAY XOCLAN,COBAY Xoclán,"C. 132 x 42, Xoclán Carmelitas, 97245 Mérida, Yuc., Mexico",,,20.9709302,-89.6670396,True,"coordenadas,texto",ChIJhXBLpAtzVo8RwHejqooNzcc
PLANTEL COBAY SAN JOSE TZAL,Colegio de Bachilleres del Estado de Yucatán,"Calle 34 420-B x 35, Col. López Mateos, López Mateos, 97440 Mérida, Yuc., Mexico",,,20.9821261,-89.6031649,True,"coordenadas,texto",ChIJAQAAUDpxVo8RJfHKu9DbOzA
COBAY TEABO,Cobay Plantel Teabo Yuc.,"C. 23 57, 97910 Teabo, Yuc., Mexico",,,20.408896,-89.2850957,True,coordenadas,ChIJCddpdGL8Vo8RhliDBIVWc10
COBAY TIZIMIN,Colegio de Bachilleres del Estado de Yucatán Plantel Tizimín,"Calle 48-B S/N por Calle 31, Centro, 97702 Tizimín, Yuc., Mexico",,,21.1565151,-88.1455902,True,"coordenadas,texto",ChIJr1WVbGsrUo8RPMfU3WJE-vA
COLEGIO DE BACHILLERES PLANTEL JMM,Colegio de Bachilleres del Estado de Yucatán,"Calle 34 420-B x 35, Col. López Mateos, López Mateos, 97440 Mérida, Yuc., Mexico",,,20.9821261,-89.6031649,True,"coordenadas,texto",ChIJAQAAUDpxVo8RJfHKu9DbOzA
COBAY SEYE,Cobay Seyé,"Seyé Municipality, 97570 Seyé, Yucatan, Mexico",,,20.8436105,-89.3861972,True,"coordenadas,texto",ChIJCSLxcs-JVo8R8o-CXCAtPLY
COLEGIO MESOAMERICANO,Preparatoria Mesoamericana,"Centro, 97000 Merida, Yucatan, Mexico",,,20.9589645,-89.63144369999999,True,"coordenadas,texto",ChIJy1REHNFzVo8RjQkWISf0tgM
COLEGIO DEL GOLFO DE MERIDA,Colegio del Golfo de Merida,"calle 86 476-P, entre 47 Y 49, Centro, 97000 Mérida, Yuc., Mexico",,,20.9780895,-89.63974920000001,True,"coordenadas,texto",ChIJn5qTuNpzVo8R75RnAgRSsgc
"COMPLUTENSE CENTRO INTEGRADO, INC. SAN LORENZO",Complutense Centro Integrado Inc,"Mansiones de Monte Sereno, 22 C. 3, San Lorenzo, 00754, Puerto Rico",,,18.1905279,-65.9625317,False,,ChIJidm2UC5bA4wRDnF5Yz0Z2Ws
COLEGIO NACIONAL DE EDUCACIÓN PROFESIONAL TÉCNICA,"Colegio Nacional de Educación Profesional Técnica ""Conalep Plantel Aragón""","Av 599 130, San Juan de Aragón III Secc, Gustavo A. Madero, 07970 Ciudad de México, CDMX, Mexico",,,19.4507657,-99.0714319,False,,ChIJ1yamUpD70YURds_AtCcAK0Y
CONALEP MERIDA,Conalep Mérida 1,"55 # 729 x, Cto. Colonias Fraccionamiento, Pacabtún, 97160 Mérida, Yuc., Mexico",,,20.9699288,-89.5883291,True,"coordenadas,texto",ChIJKdvm6vpzVo8R74Qhxh6Q6_M
CONRADO MENENDEZ DIAZ,Conrado Menéndez Díaz,"Av Fidel Velázquez 849, Esperanza, 97169 Mérida, Yuc., Mexico",,,20.9654446,-89.5886001,True,"coordenadas,texto",ChIJ3bxqoR1xVo8RT0ilGE-zjxY
COBAY CUZAMA,Cobay Cuzama,"97577 Cuzamá, Yucatan, Mexico",,,20.7412343,-89.30133889999999,True,"coordenadas,texto",ChIJvTSRSuuMVo8Rmh6SrlGR_D8
CENTRO UNIVERSITARIO FELIPE CARRILLO PUERTO,Felipe Carrillo Puerto Centro Universitario,"C. 65 583, Parque Santiago, Centro, 97000 Mérida, Yuc., Mexico",,,20.967184,-89.6313095,True,"coordenadas,texto",ChIJwRR3l9tzVo8RqpMLzjuO1oY
CUM,Centro Universitario Mexico,"Nicolás San Juan 728, Narvarte Poniente, Benito Juárez, 03100 Ciudad de México, CDMX, Mexico",,,19.3896556,-99.1611832,False,,ChIJHUMfYOcc0oURT23Xchhb4dY
CENTRO UNIVERSITARIO MONTEJO,Centro Universitario Montejo,"C. 60 106, Loma Bonita, 97205 Mérida, Yuc., Mexico",,,21.0272941,-89.62825769999999,True,"coordenadas,texto",ChIJ0VELv110Vo8Rj7GkFCj1wMw
COLEGIO YUCATAN,"Colegio Yucatán, Plantel Secundaria-Preparatoria","Avenida 37 por 24 y 26, Limones, 97219 Mérida, Yuc., Mexico",,,21.0023528,-89.64799409999999,True,"coordenadas,texto",ChIJN8hHPXR0Vo8RppNSH645tiA
DAVID ALFARO SIQUEIROS MIRAFLORES,Institute of Higher Studies David Alfaro Siqueiros,"x 26, C. 65 230, Miraflores, 97179 Mérida, Yuc., Mexico",,,20.9578572,-89.5982154,True,"coordenadas,texto",ChIJ2_nnFA9xVo8RPP48g0Sk9Rk
EDUCACION INTEGRAL Y ACTIVA EDAI,EDAI - Educación Activa e Integral de Mérida,"Av. Yucatán No. 524-1 x 22 y 24, Maya, 97134 Mérida, Yuc., Mexico",,,21.0165051,-89.5703504,True,"coordenadas,texto",ChIJERbMhSVxVo8R0swtAwlJ9WY
COLEGIO EDUCACION Y PATRIA,College Education and Patria,"Calle 64 x 57 y 59 No.485, Parque Santiago, Centro, 97000 Mérida, Yuc., Mexico",,,20.969793,-89.6254872,True,"coordenadas,texto",ChIJq6DUYN9zVo8Ra93W03Z6ZAQ
ELIGIO ANCONA,Calle Eligio Ancona,"C. Eligio Ancona, Ciudad de México, CDMX, Mexico",,,19.4533829,-99.1621563,False,,ChIJ0dVRL8L40YURkuhhohgtsks
EMSAD 07 EL DESENGAÑO,"EMSAD 07 ""DESENGAÑO"" COBACAM","Candelaria Municipality, 24346 Campeche, Mexico",,,17.8700918,-90.44404290000001,False,,ChIJE2sziaXa9YURAlJjeAtMLoA
ENEP UNAM SEP,"ENES Unidad Mérida, UNAM","97357 Ucú, Yucatan, Mexico",,,20.9881155,-89.73492499999999,True,"coordenadas,texto",ChIJNQe7socMVo8RNlMICaiTOnw
ESCUELA PREPARATORIA JOSE DOLORES RODRIGUEZ TAMAYO,"Centro Educativo José Dolores Rodríguez Tamayo, Campus Mérida.","C. 96 653, Cd Caucel, 97314 Mérida, Yuc., Mexico",,,20.9986774,-89.7099597,True,"coordenadas,texto",ChIJGUAbM6wLVo8RH21kbJNLOcg
PREPARATORIA ESTATAL NUM. 10,"Escuela Preparatoria Estatal Número 10 ""Ruben H. Rodríguez Moguel""","Calle 59, s/n 102-A y 106, Cd Caucel, 97314 Mérida, Yuc., Mexico",,,20.9993114,-89.7157014,True,"coordenadas,texto",ChIJydXwaV8LVo8R4sPk4kvksDc
FRANCISCO DE MONTEJO Y LEON,Escuela Preparatoria Particular Francisco de Montejo y León,"Calle 47 514A X 62 y 64, Parque Santa Ana, Centro, 97000 Mérida, Yuc., Mexico",,,20.9756024,-89.6238668,True,"coordenadas,texto",ChIJ-cWJ_-tzVo8RH92uyhDu2Uw
FRANCISCO REPETO MILAN,Autonomous University of Yucatan,"C. 60 491A, Parque Santa Lucia, Centro, 97000 Mérida, Yuc., Mexico",,,20.9695848,-89.6229628,True,"coordenadas,texto",ChIJo0Y6pV5xVo8RlVP7jSdyJwM
GONZALO CAMARA ZAVALA,Preparatoria Lic. Gonzalo Cámara Zavala,"C. 60 602-x 73 y 75, Centro, 97000 Mérida, Yuc., Mexico",,,20.9581982,-89.6247518,True,"coordenadas,texto",ChIJx-LGFRtxVo8RRf64pzL_SYY
COBAY HUNUCMA,cobay plantel hunucma,"Juan Pablo II, 97246 Merida, Yucatan, Mexico",,,20.9673554,-89.6800818,True,"coordenadas,texto",ChIJ9cXCbRZzVo8R3lf-_lJMN8Q
IBCEY,IBECEY,"C. 31ᴮ 360, López Mateos, 97140 Mérida, Yuc., Mexico",,,20.9838649,-89.5998029,True,"coordenadas,texto",ChIJ2wJVRTpxVo8Rhm_v6-tqMuY
INSTITUTO FELTON,Dalí Educational Institute,"C. 47-A 276-274 y, entre 46 y 48, Francisco de Montejo, 97203 Mérida, Yuc., Mexico",,,21.0345545,-89.6431621,True,"coordenadas,texto",ChIJqzEQ7Dd0Vo8R9mQ_pB4ctiQ
IMEI - CIUDAD DE MEXICO,Instituto Mexicano del Edificio Inteligente,"Av. Homero 229-Piso 5, Chapultepec Morales, Polanco V Secc, Miguel Hidalgo, 11560 Ciudad de México, CDMX, Mexico",,,19.4356169,-99.18536259999999,False,,ChIJp-HAlE7_0YURy7otePNuW9g
INCI - ALEMAN,Goethe-Institut Mexiko,"Tonalá 43, Cuauhtémoc, Roma Nte., Cuauhtémoc, 06700 Ciudad de México, CDMX, Mexico",,,19.4198774,-99.1633543,False,,ChIJHUMfYOcc0oURuFX9NTqV42U
INEVE,INEVE,"Av. Universidad 1821, Oxtopulco, Coyoacán, 04318 Ciudad de México, CDMX, Mexico",,,19.3441878,-99.18149079999999,False,,ChIJ2QkdOxH_0YURPhaXE4t6RPc
INSTITUTO PATRIA,Instituto Patria,"Periférico Norte km. 2.5, San Ramón Nte, 97115 Mérida, Yuc., Mexico",,,21.0399475,-89.60829160000002,True,"coordenadas,texto",ChIJTZh-fIx2Vo8ReVtRcCGdvOo
